2017-01-09 15:29:36,998 [Worker-222] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: CodeQJPA:CodeQJPA:0.0.1-SNAPSHOT @ /Users/christopher/SD/CodeQs/CodeQJPA/pom.xml.
2017-01-09 15:29:37,171 [Worker-222] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-09 15:29:37,174 [Worker-222] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-09 15:29:37,175 [Worker-222] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-09 15:29:37,176 [Worker-222] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/christopher/SD/CodeQs/CodeQJPA/src/test/resources
2017-01-09 15:29:38,538 [Worker-216] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-09 15:29:38,542 [Worker-216] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-01-09 15:29:38,544 [Worker-216] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-09 15:29:38,550 [Worker-216] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/christopher/SD/CodeQs/CodeQJPA/src/test/resources
2017-01-09 15:31:34,117 [Worker-217] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-09 15:31:34,121 [Worker-217] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
